1 epoch, LR 0.001000, LOSS 1.097220, Acu 0.51%, bestAcu 0.51%
2 epoch, LR 0.000950, LOSS 1.065416, Acu 0.50%, bestAcu 0.51%
3 epoch, LR 0.000902, LOSS 1.045294, Acu 0.52%, bestAcu 0.52%
4 epoch, LR 0.000857, LOSS 1.025602, Acu 0.51%, bestAcu 0.52%
5 epoch, LR 0.000815, LOSS 0.998806, Acu 0.53%, bestAcu 0.53%
6 epoch, LR 0.000774, LOSS 0.959366, Acu 0.53%, bestAcu 0.53%
7 epoch, LR 0.000735, LOSS 0.922021, Acu 0.65%, bestAcu 0.65%
8 epoch, LR 0.000698, LOSS 0.862744, Acu 0.70%, bestAcu 0.70%
9 epoch, LR 0.000663, LOSS 0.783422, Acu 0.66%, bestAcu 0.70%
10 epoch, LR 0.000630, LOSS 0.732366, Acu 0.64%, bestAcu 0.70%
11 epoch, LR 0.000599, LOSS 0.670767, Acu 0.72%, bestAcu 0.72%
12 epoch, LR 0.000569, LOSS 0.583865, Acu 0.74%, bestAcu 0.74%
13 epoch, LR 0.000540, LOSS 0.463941, Acu 0.76%, bestAcu 0.76%
14 epoch, LR 0.000513, LOSS 0.396605, Acu 0.61%, bestAcu 0.76%
15 epoch, LR 0.000488, LOSS 0.369966, Acu 0.74%, bestAcu 0.76%
16 epoch, LR 0.000463, LOSS 0.322921, Acu 0.73%, bestAcu 0.76%
17 epoch, LR 0.000440, LOSS 0.299700, Acu 0.79%, bestAcu 0.79%
18 epoch, LR 0.000418, LOSS 0.285414, Acu 0.77%, bestAcu 0.79%
19 epoch, LR 0.000397, LOSS 0.272368, Acu 0.74%, bestAcu 0.79%
20 epoch, LR 0.000377, LOSS 0.265029, Acu 0.74%, bestAcu 0.79%
21 epoch, LR 0.000358, LOSS 0.258789, Acu 0.74%, bestAcu 0.79%
22 epoch, LR 0.000341, LOSS 0.253678, Acu 0.75%, bestAcu 0.79%
23 epoch, LR 0.000324, LOSS 0.250041, Acu 0.75%, bestAcu 0.79%
24 epoch, LR 0.000307, LOSS 0.246956, Acu 0.74%, bestAcu 0.79%
25 epoch, LR 0.000292, LOSS 0.244663, Acu 0.74%, bestAcu 0.79%
